Manufacturer PN	Manfacturer Name	Description	Digi-Key Part No.	Mouser PN	Newark PN	Price
PASSIVES_RESISTOR0805-RES:470	Rohm Semiconductor	RES SMD 470 OHM 5% 0.4W 0805	RHM470KCT-ND			
MICROBUILDER_RESISTOR0805:510	Panasonic Electronic Components	RES SMD 510 OHM 5% 1/2W 0805	P510ADCT-ND			
CAPACITORS_CAP0805:2200pF	Samsung Electro-Mechanics	CAP CER 2200PF 50V X7R 0805	1276-1171-1-ND			
POWERIC_MIC52053.3V:MIC5323-3.3	Microchip Technology	IC REG LIN 3.3V 300MA TSOT23-5	576-2833-1-ND			
SN65HVD235DR	Texas Instruments	IC CAN TRANSCEIVER 3.3V 8-SOIC	296-44789-1-ND			
CAPACITORS_CAP0805:33pF	Samsung Electro-Mechanics	CAP CER 33PF 50V C0G/NP0 0805	1276-1105-1-ND			
CAPACITORS_1UF-25V-10%(0805):1uF	Wurth Electronics Inc.	CAP CER 1UF 25V X5R 0805	732-7625-1-ND			
CAPACITORS_CAP0805:2.2uF	Wurth Electronics Inc.	CAP CER 2.2UF 16V X5R 0805	732-7622-1-ND			
PASSIVES_RESISTOR0805-RES:47K	Rohm Semiconductor	RES SMD 47K OHM 5% 0.4W 0805	RHM47KKCT-ND		ESR10EZPJ473	
CAPACITORS_CAP0805:10uF	Samsung Electro-Mechanics	CAP CER 10UF 25V X5R 0805	1276-2891-1-ND		CL21A106KAYNNNE	
CAPACITORS_10UF50V20%(1210):10uF	Samsung Electro-Mechanics	CAP CER 10UF 25V X5R 1210	1276-1854-1-ND		CL32A106KAULNNE	
